param_name,json_value,internal_value,delta_value,is_different
AHRS_ORIENTATION,NaN,0,NaN,1
ARMING_ACCTHRESH,0.75,NaN,NaN,1
ARMING_CHECK,NaN,NaN,NaN,0
ARMING_MAGTHRESH,100,NaN,NaN,1
ARMING_MIS_ITEMS,0,NaN,NaN,1
ARMING_NEED_LOC,0,NaN,NaN,1
ARMING_OPTIONS,0,NaN,NaN,1
ARMING_RUDDER,2,NaN,NaN,1
ARMING_SKIPCHK,0,NaN,NaN,1
INS_ACC1_CALTEMP,-300,NaN,NaN,1
INS_ACC2OFFS_X,0.00100000004749745,0.00100000004749745,-1.30104260698261e-18,0
INS_ACC2OFFS_Y,0.00100000004749745,0.00100000004749745,-1.30104260698261e-18,0
INS_ACC2OFFS_Z,0.00100000004749745,0.00100000004749745,-1.30104260698261e-18,0
INS_ACC2SCAL_X,1.00100004673004,1.00100004673004,-1.55431223447522e-15,0
INS_ACC2SCAL_Y,1.00100004673004,1.00100004673004,-1.55431223447522e-15,0
INS_ACC2SCAL_Z,1.00100004673004,1.00100004673004,-1.55431223447522e-15,0
INS_ACC2_CALTEMP,-300,NaN,NaN,1
INS_ACC2_ID,0,2753036,-2753036,1
INS_ACC3OFFS_X,0,NaN,NaN,1
INS_ACC3OFFS_Y,0,NaN,NaN,1
INS_ACC3OFFS_Z,0,NaN,NaN,1
INS_ACC3SCAL_X,1,NaN,NaN,1
INS_ACC3SCAL_Y,1,NaN,NaN,1
INS_ACC3SCAL_Z,1,NaN,NaN,1
INS_ACC3_CALTEMP,-300,NaN,NaN,1
INS_ACC3_ID,0,0,0,0
INS_ACCEL_FILTER,20,NaN,NaN,1
INS_ACCOFFS_X,0.00100000004749745,0.00100000004749745,-1.30104260698261e-18,0
INS_ACCOFFS_Y,0.00100000004749745,0.00100000004749745,-1.30104260698261e-18,0
INS_ACCOFFS_Z,0.00100000004749745,0.00100000004749745,-1.30104260698261e-18,0
INS_ACCSCAL_X,1.00100004673004,1.00100004673004,-1.55431223447522e-15,0
INS_ACCSCAL_Y,1.00100004673004,1.00100004673004,-1.55431223447522e-15,0
INS_ACCSCAL_Z,1.00100004673004,1.00100004673004,-1.55431223447522e-15,0
INS_ACC_BODYFIX,2,NaN,NaN,1
INS_ACC_ID,2753028,2753028,0,0
INS_ENABLE_MASK,1,127,-126,1
INS_USE,1,1,0,0
INS_USE2,0,1,-1,1
INS_USE3,0,NaN,NaN,1
LOG_BITMASK,180222,NaN,NaN,1
LOG_DISARMED,NaN,NaN,NaN,0
