pwm_us,motor_cmd_radps,thrust_one_N,thrust_total_N,weight_N,thrust_to_weight_ratio
1000,0,0,0,9.81,0
1050,45,0.0162,0.0648,9.81,0.00660550458715596
1100,90,0.0648,0.2592,9.81,0.0264220183486239
1150,135,0.1458,0.5832,9.81,0.0594495412844037
1200,180,0.2592,1.0368,9.81,0.105688073394495
1250,225,0.405,1.62,9.81,0.165137614678899
1300,270,0.5832,2.3328,9.81,0.237798165137615
1350,315,0.7938,3.1752,9.81,0.323669724770642
1400,360,1.0368,4.1472,9.81,0.422752293577982
1450,405,1.3122,5.2488,9.81,0.535045871559633
1500,450,1.62,6.48,9.81,0.660550458715596
1550,495,1.9602,7.8408,9.81,0.799266055045872
1600,540,2.3328,9.3312,9.81,0.951192660550459
1650,585,2.7378,10.9512,9.81,1.11633027522936
1700,630,3.1752,12.7008,9.81,1.29467889908257
1750,675,3.645,14.58,9.81,1.48623853211009
1800,720,4.1472,16.5888,9.81,1.69100917431193
1850,765,4.6818,18.7272,9.81,1.90899082568807
1900,810,5.2488,20.9952,9.81,2.14018348623853
1950,855,5.8482,23.3928,9.81,2.3845871559633
2000,900,6.48,25.92,9.81,2.64220183486239
